studentId,class
1,9F
2,12D
3,7O
4,9W
5,9D
6,7U
7,3J
8,5L
9,2Q
10,7N
11,3J
12,1T
13,2N
14,11Q
15,7R
16,4H
17,9Z
18,5B
19,4K
20,11O
21,10Q
22,5V
23,11G
24,3J
25,12X
26,12R
27,10J
28,10W
29,7C
30,11A
31,6Z
32,8D
33,12X
34,12A
35,7Q
36,5M
37,11Y
38,8P
39,3L
40,2V
41,7K
42,9D
43,1O
44,1J
45,6A
46,11R
47,2S
48,10T
49,12O
50,4J
51,9H
52,10Q
53,2A
54,6V
55,8T
56,11A
57,8V
58,1I
59,8R
60,3Y
61,9K
62,11D
63,8B
64,11S
65,2M
66,1R
67,12U
68,11B
69,6C
70,5M
71,11O
72,8B
73,8W
74,1W
75,10I
76,4D
77,3N
78,7T
79,12Y
80,4L
81,4K
82,7Q
83,3H
84,9L
85,3W
86,6F
87,6Q
88,12F
89,1V
90,1W
91,6U
92,5L
93,12S
94,9L
95,5J
96,6Z
97,10G
98,1Z
99,6J
100,7Y
101,1K
102,2A
103,2Z
104,8Z
105,8F
106,11H
107,8N
108,9S
109,6M
110,7B
111,3H
112,7L
113,1B
114,10I
115,2T
116,12V
117,9J
118,7Y
119,4U
120,8N
121,9W
122,8K
123,11O
124,6R
125,12U
126,11K
127,11Y
128,10R
129,5H
130,1D
131,4T
132,9E
133,4E
134,5R
135,11S
136,12D
137,12S
138,6E
139,10J
140,8R
141,8E
142,1A
143,3X
144,9T
145,5Z
146,12K
147,3I
148,10W
149,1U
150,4U
151,11H
152,4F
153,2X
154,8M
155,10K
156,8S
157,9C
158,2X
159,5S
160,9L
161,1F
162,9Y
163,5O
164,1M
165,6C
166,7A
167,2W
168,7D
169,6M
170,10N
171,12S
172,4B
173,11T
174,2S
175,11J
176,3F
177,8P
178,7H
179,4Q
180,11J
181,2O
182,5A
183,10A
184,11A
185,11M
186,1L
187,8J
188,3S
189,11C
190,10R
191,11T
192,8Y
193,11B
194,6X
195,6Z
196,8R
197,11F
198,2Q
199,5Y
200,8U
201,1R
202,10F
203,11T
204,7Z
205,5P
206,10M
207,6R
208,11H
209,4S
210,1G
211,7I
212,4X
213,7L
214,6O
215,8J
216,11C
217,2B
218,8P
219,5R
220,5W
221,8J
222,4W
223,1W
224,2C
225,1H
226,12S
227,9Z
228,12W
229,8F
230,9J
231,9T
232,8U
233,8N
234,8D
235,1B
236,5C
237,3A
238,5A
239,6T
240,7P
241,6N
242,11X
243,8R
244,11G
